item/log	0		-
item/box	0		-
item/egg	0		-
item/slow	0		-
item/wood	0		-
item/deku	0		-
item/doll	0		-
item/club	0		-
item/book	0		-
item/curry	0		-
item/heart	0		-
item/staff	0		-
item/mushd	0		-
item/unira	0		-
item/drill	0		-
item/grass	0		-
item/badge	0		-
item/stage	0		-
item/screw	0		-
fighter/ike	0		-
fighter/ken	0		-
fighter/fox	0		-
fighter/pit	0		-
fighter/roy	0		-
item/beetle	0		-
item/banana	0		-
fighter/ryu	0		-
item/common	0		-
item/bumper	0		-
item/raygun	0		-
item/bomber	0		-
item/hammer	0		-
item/killer	0		-
item/assist	0		-
item/barrel	0		-
item/pellet	0		-
item/dragoon	0		-
item/genesis	0		-
item/chicken	0		-
item/pitfall	0		-
item/freezer	0		-
fighter/jack	0		-
item/bombhei	0		-
item/sandbag	0		-
item/prizehr	0		-
item/capsule	0		-
item/st_crab	0		-
fighter/popo	0		-
fighter/wolf	0		-
fighter/pitb	0		-
fighter/link	0		-
item/pasaran	0		-
item/chewing	0		-
item/thunder	0		-
fighter/boot	5	242-246	-
fighter/edge	0		-
fighter/nana	0		-
item/bombchu	0		-
item/starrod	0		-
fighter/ness	0		-
item/firebar	0		-
item/usagihat	0		-
fighter/robot	0		-
fighter/shulk	0		-
item/linkbomb	0		-
item/warpstar	0		-
item/starring	0		-
fighter/brave	0		-
item/walkmush	0		-
item/tabemono	0		-
item/pokeball	0		-
fighter/luigi	0		-
fighter/yoshi	0		-
fighter/falco	0		-
item/st_apple	0		-
item/st_fruit	0		-
fighter/diddy	0		-
fighter/kamui	0		-
item/kusudama	0		-
fighter/trail	0		-
fighter/pichu	0		-
fighter/sheik	0		-
item/mushroom	0		-
item/powblock	0		-
fighter/demon	0		-
fighter/snake	0		-
item/ripstick	0		-
fighter/daisy	0		-
fighter/kirby	0		-
fighter/peach	0		-
fighter/marth	0		-
fighter/chrom	0		-
fighter/ganon	0		-
fighter/dolly	0		-
item/st_shell	0		-
item/doseisan	0		-
fighter/mario	0		-
fighter/koopa	0		-
fighter/buddy	0		-
fighter/zelda	0		-
item/magicpot	0		-
item/clubshot	0		-
fighter/krool	0		-
item/poweresa	0		-
fighter/wario	0		-
fighter/cloud	0		-
fighter/simon	0		-
fighter/lucas	0		-
fighter/sonic	0		-
item/healball	0		-
fighter/samus	0		-
fighter/purin	0		-
item/log/model	0		-
fighter/pickel	0		-
item/egg/param	0		-
item/robotgyro	0		-
item/killereye	0		-
item/box/param	1	545	-
item/beamsword	0		-
item/buddybomb	0		-
item/smashbomb	0		-
fighter/master	0		-
item/powderbox	0		-
fighter/eflame	0		-
item/drillshot	0		-
fighter/koopag	0		-
fighter/lucina	0		-
item/magicball	0		-
fighter/elight	0		-
item/smartbomb	0		-
fighter/samusd	0		-
fighter/mewtwo	0		-
item/boomerang	0		-
item/box/model	0		-
item/machstamp	0		-
item/killsword	0		-
item/log/param	0		-
item/crossbomb	0		-
item/egg/model	0		-
item/bananagun	0		-
fighter/donkey	0		-
fighter/pikmin	0		-
item/staffshot	0		-
fighter/mariod	0		-
item/honeycomb	0		-
fighter/packun	0		-
fighter/dedede	0		-
fighter/reflet	0		-
fighter/ridley	0		-
fighter/pacman	0		-
item/wariobike	0		-
item/sandbaghr	0		-
item/smashball	0		-
fighter/tantan	0		-
item/linkarrow	0		-
fighter/wiifit	0		-
item/snakecbox	0		-
item/curryshot	0		-
item/superleaf	0		-
item/superstar	0		-
fighter/shizue	0		-
fighter/common	0		-
item/blackball	0		-
item/pacmankey	0		-
fighter/roy/c05	418	1313-1730	-
fighter/roy/c01	418	1763-2180	-
item/egg/motion	0		-
item/log/effect	0		-
item/carrierbox	0		-
item/metalblade	0		-
fighter/ryu/c05	408	2266-2673	-
item/raygunshot	0		-
item/rocketbelt	0		-
item/wiifitball	0		-
fighter/ryu/c01	408	2722-3129	-
fighter/ken/c06	404	3202-3605	-
fighter/ken/c02	404	3606-4009	-
item/box/script	0		-
item/pacmanbell	0		-
fighter/pit/c06	536	4062-4597	-
fighter/pit/c02	536	4598-5133	-
fighter/pikachu	0		-
fighter/koopajr	0		-
fighter/ike/c00	447	5151-5597	-
fighter/ike/c04	447	5633-6079	-
item/st_usa_egg	0		-
fighter/fox/c02	486	6129-6614	-
item/wariobikee	0		-
item/wariobikea	0		-
fighter/fox/c06	486	6615-7100	-
item/box/camera	0		-
fighter/lucario	0		-
item/club/model	0		-
fighter/fox/c07	486	7200-7685	-
fighter/fox/c03	486	7721-8206	-
item/wariobiked	0		-
item/backshield	0		-
fighter/pit/cmn	4	8207-8210	-
item/egg/effect	0		-
item/club/param	1	8243	-
item/log/motion	0		-
fighter/pit/c03	536	8262-8797	-
item/pacmanboss	0		-
item/soccerball	0		-
fighter/pit/c07	536	8798-9333	-
fighter/ike/c05	447	9366-9812	-
fighter/rosetta	0		-
fighter/ike/c01	447	9848-10294	-
fighter/fox/cmn	4	10310-10313	-
fighter/ryu/c00	407	10380-10786	-
fighter/ryu/c04	408	10838-11245	-
item/sensorbomb	0		-
fighter/rockman	0		-
fighter/ken/c03	404	11285-11688	-
item/mechakoopa	0		-
fighter/ken/c07	404	11721-12124	-
fighter/ken/cmn	4	12154-12157	-
fighter/roy/c00	418	12158-12575	-
fighter/roy/c04	418	12607-13024	-
item/masterball	0		-
fighter/captain	0		-
item/log/camera	0		-
fighter/ken/c05	404	13126-13529	-
fighter/ken/c01	404	13530-13933	-
fighter/gaogaen	0		-
fighter/ryu/c06	408	14020-14427	-
fighter/ryu/c02	408	14448-14855	-
item/bossgalaga	0		-
item/book/model	0		-
fighter/inkling	0		-
fighter/element	0		-
fighter/roy/c06	418	14925-15342	-
fighter/roy/c02	418	15343-15760	-
item/finaldaisy	0		-
item/doll/param	0		-
item/wood/model	0		-
item/log/script	0		-
fighter/ike/cmn	4	15827-15830	-
item/finalpeach	0		-
fighter/fox/c01	486	15851-16336	-
item/wariobikeb	0		-
fighter/fox/c05	486	16337-16822	-
item/metalblock	0		-
item/fireflower	0		-
fighter/ike/c03	447	16840-17286	-
item/slow/param	1	17319	-
item/box/effect	0		-
fighter/ike/c07	447	17343-17789	-
item/deku/model	0		-
fighter/pit/c05	536	17826-18361	-
fighter/pit/c01	536	18362-18897	-
item/greenshell	0		-
item/homerunbat	0		-
item/slow/model	0		-
fighter/ike/c06	447	18930-19376	-
item/egg/camera	0		-
fighter/ike/c02	447	19426-19872	-
item/deku/param	1	19920	-
item/kroolcrown	0		-
fighter/pit/c00	536	19921-20456	-
fighter/pit/c04	536	20457-20992	-
fighter/richter	0		-
item/dragoonset	0		-
item/pickelbomb	0		-
item/hammerhead	0		-
item/wood/param	0		-
item/doll/model	0		-
item/wariobikec	0		-
fighter/fox/c04	486	21024-21509	-
fighter/fox/c00	486	21544-22029	-
item/genesisset	0		-
fighter/ryu/cmn	4	22062-22065	-
item/egg/script	0		-
item/book/param	1	22066	-
fighter/roy/c03	418	22124-22541	-
fighter/roy/c07	418	22542-22959	-
fighter/roy/cmn	4	22974-22977	-
item/superscope	0		-
item/steeldiver	0		-
fighter/ken/c00	404	23001-23404	-
item/box/motion	0		-
fighter/ken/c04	404	23433-23836	-
